Sample	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	Samtools Flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
20180725-4-Liver-002-piece_S4_L001_R1_001.trim	98.79	42805720	0.28028					
20180725-4-Liver-002-piece_S4_merge_R1				28.6741219453	74.662764346	38685186.0	18.1818181818	47.0
20180725-4-Liver-002-piece_S4_merge_R2				28.4142147949	74.602674083	38685186.0	18.1818181818	47.0
20180725-5-Liver-002-powder_S5_L001_R1_001.trim	98.9	26933538	0.337593					
20180725-5-Liver-002-powder_S5_merge_R1				33.7803798018	74.5485274078	26248373.0	27.2727272727	46.0
20180725-5-Liver-002-powder_S5_merge_R2				33.4746552421	74.6316535505	26248373.0	18.1818181818	46.0
20180725-6-Liver-002-powder_S6_L001_R1_001.trim	98.78	34348202	0.305781					
20180725-6-Liver-002-powder_S6_merge_R1				30.5653153749	74.5063267551	31929164.0	18.1818181818	47.0
20180725-6-Liver-002-powder_S6_merge_R2				30.3400195497	74.6226459922	31929164.0	18.1818181818	46.0
20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	98.45	36790978	0.068118					
20180731-7-Gastroc-001-powder_S7_merge_R1				10.384625407	74.6160300702	27326468.0	18.1818181818	47.0
20180731-7-Gastroc-001-powder_S7_merge_R2				10.2459385581	74.5856799349	27326468.0	18.1818181818	46.0
20180731-8-Liver-001-powder_S8_L001_R1_001.trim	98.68	40995308	0.190942					
20180731-8-Liver-001-powder_S8_merge_R1				21.0242014417	74.668979381	31274218.0	18.1818181818	49.0
20180731-8-Liver-001-powder_S8_merge_R2				20.7160009077	74.6020623122	31274218.0	18.1818181818	48.0
20180815-10-Heart-002-powder_S10_L001_R1_001.trim	98.98	33397660	0.351927					
20180815-10-Heart-002-powder_S10_merge_R1				34.6058355925	74.619463686	36324168.0	18.1818181818	44.0
20180815-10-Heart-002-powder_S10_merge_R2				34.2292455944	74.5925046102	36324168.0	18.1818181818	44.0
20180815-11-Lung-002-piece_S11_L001_R1_001.trim	98.9	35668494	0.089662					
20180815-11-Lung-002-piece_S11_merge_R1				14.0151239315	74.6093073968	26214548.0	18.1818181818	48.0
20180815-12-Lung-002-powder_S12_L001_R1_001.trim	98.82	38602298	0.0855					
20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	98.96	46925392	0.044284					
20180815-14-Adipose-002-powder_S14_L001_R1_001.trim	99.06	35888884	0.047918					
20180815-9-Heart-002-piece_S9_L001_R1_001.trim	57.69	20877366	0.375182					
merge_fastqs_R1_20180404-3-muscle-1-5_S16_L001_R1_001.trim	98.97							
merge_fastqs_R1_20180720-5-muscle-frozen_S15_L001_R1_001.trim	98.64							
merge_fastqs_R1_20180725-1-Gastroc-002-piece_S1_L001_R1_001.trim	93.42							
merge_fastqs_R1_20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	98.88							
merge_fastqs_R1_20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	95.67							
merge_fastqs_R1_20180725-4-Liver-002-piece_S4_L001_R1_001.trim	98.79							
merge_fastqs_R1_20180725-5-Liver-002-powder_S5_L001_R1_001.trim	98.9							
merge_fastqs_R1_20180725-6-Liver-002-powder_S6_L001_R1_001.trim	98.78							
merge_fastqs_R1_20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	98.45							
merge_fastqs_R1_20180731-8-Liver-001-powder_S8_L001_R1_001.trim	98.68							
merge_fastqs_R1_20180815-10-Heart-002-powder_S10_L001_R1_001.trim	98.98							
merge_fastqs_R1_20180815-11-Lung-002-piece_S11_L001_R1_001.trim	98.9							
merge_fastqs_R1_20180815-12-Lung-002-powder_S12_L001_R1_001.trim	98.82							
merge_fastqs_R1_20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	98.96							
merge_fastqs_R1_20180815-14-Adipose-002-powder_S14_L001_R1_001.trim	99.06							
merge_fastqs_R1_20180815-9-Heart-002-piece_S9_L001_R1_001.trim	57.69							
